symbol	date	error_type	error_code
AATDF	2020-01-31	no data	
AATGF	2020-01-31	low data size	
AATP	2020-01-31	no data	
AATRL	2020-01-31	no data	
AAVMY	2020-01-31	response error	503
AAVXF	2020-01-31	no data	
AAXJ.SO.X	2020-01-31	response error	500
ABAHF	2020-01-31	response error	503
ABBAF	2020-01-31	no data	
ABBB	2020-01-31	low data size	
ABBRF	2020-01-31	low data size	
ABBV	2020-01-31	no data	
ABBY	2020-01-31	no data	
ABCAF	2020-01-31	no data	
ABCZF	2020-01-31	no data	
ABCZY	2020-01-31	no data	
ABDDF	2020-01-31	no data	
ABDR	2020-01-31	low data size	
ABENU	2020-01-31	no data	
ABEPF	2020-01-31	no data	
ABETF	2020-01-31	no data	
ABEV	2020-01-31	no data	
ABFOF	2020-01-31	low data size	
ABFRF	2020-01-31	response error	500
ABFXF	2020-01-31	low data size	
ABGLF	2020-01-31	no data	
ABGOY	2020-01-31	low data size	
ABGSF	2020-01-31	low data size	
ABHI	2020-01-31	no data	
ABKI	2020-01-31	low data size	
ABLGF	2020-01-31	low data size	
ABLT	2020-01-31	no data	
ABML	2020-01-31	response error	503
ABMT	2020-01-31	low data size	
ABQI.X	2020-01-31	low data size	
ABQQ	2020-01-31	no data	
ABQX.X	2020-01-31	low data size	
ABR-A	2020-01-31	no data	
ABR-B	2020-01-31	no data	
ABR-C	2020-01-31	no data	
ABSCF	2020-01-31	no data	
ABSOF	2020-01-31	no data	
ABTPF	2020-01-31	response error	503
ABTZY	2020-01-31	no data	
ABVC	2020-01-31	no data	
ABVN	2020-01-31	no data	
ABWN	2020-01-31	no data	
ABZPF	2020-01-31	no data	
ABZPY	2020-01-31	no data	
ABZUF	2020-01-31	no data	
AC	2020-01-31	no data	
ACA	2020-01-31	no data	
ACAN	2020-01-31	no data	
ACAVF	2020-01-31	no data	
ACAZF	2020-01-31	no data	
ACB	2020-01-31	no data	
ACBFF	2020-01-31	no data	
ACBM	2020-01-31	no data	
ACCFF	2020-01-31	no data	
ACCMF	2020-01-31	response error	503
